Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s),difficulty_level
258,3 6 10 11,6.46,96.0,7.12,2.89,very_easy
1093,1 4 6 6,13.55,80.1,12.22,6.5,hard
58,5 6 12 12,5.41,97.2,5.79,1.81,very_easy
584,5 6 10 11,7.9,90.5,8.25,3.57,medium
852,3 4 6 10,9.78,90.0,10.2,4.83,medium
320,9 9 10 13,6.73,91.0,6.94,2.73,medium
967,4 4 8 12,11.16,92.0,11.84,5.21,medium
399,1 2 11 12,7.07,97.0,7.74,3.18,very_easy
678,5 8 9 11,8.41,89.8,8.72,3.82,medium
876,2 3 4 10,10.07,91.9,10.47,4.38,medium
96,4 5 5 6,5.65,97.5,6.08,2.12,very_easy
90,1 3 3 4,5.61,97.6,5.86,1.77,very_easy
1161,7 9 12 12,16.07,64.1,9.77,5.79,very_hard
1349,7 8 10 11,104.51,29.9,26.02,15.8,very_hard
411,4 5 10 10,7.1,91.3,7.5,3.25,medium
153,3 6 7 7,5.96,93.5,6.35,2.43,easy
67,3 4 4 8,5.47,98.4,5.9,1.96,very_easy
140,1 8 10 12,5.92,95.8,6.24,2.19,easy
400,3 6 6 12,7.07,95.5,7.75,2.97,easy
563,2 7 8 8,7.79,92.6,8.16,3.19,medium
1183,2 2 6 7,17.25,72.5,13.63,7.19,very_hard
1260,3 4 4 4,26.45,67.0,19.09,10.61,very_hard
56,1 6 8 12,5.4,97.0,5.79,2.01,very_easy
310,1 5 8 10,6.7,96.5,7.2,2.58,very_easy
417,1 8 8 10,7.14,92.3,7.51,3.03,medium
887,4 5 6 10,10.22,90.4,10.69,4.46,medium
330,6 8 10 12,6.77,97.4,7.34,2.8,very_easy
1118,6 12 12 12,14.38,76.0,12.07,6.95,very_hard
192,2 11 12 12,6.13,95.6,6.55,2.27,easy
539,3 5 6 12,7.67,93.4,8.19,3.29,easy
449,2 7 7 13,7.27,86.2,7.38,3.13,hard
1125,1 3 7 9,14.58,80.2,13.05,5.68,hard
1289,4 7 9 11,37.33,52.3,23.35,11.48,very_hard
606,2 2 3 3,8.01,93.3,8.36,3.24,easy
985,4 4 7 10,11.42,74.9,9.33,4.66,very_hard
764,1 1 3 10,9.04,88.4,9.06,3.92,medium
503,6 8 13 13,7.5,93.4,7.95,3.13,easy
1084,2 3 5 10,13.45,80.2,12.15,5.4,hard
430,3 7 12 13,7.2,93.9,7.69,3.1,easy
167,3 7 10 10,6.01,97.3,6.41,2.22,very_easy
286,1 3 5 8,6.59,95.3,7.28,2.98,easy
652,1 6 11 12,8.27,88.9,8.29,2.95,medium
328,2 5 6 11,6.76,96.3,7.26,2.64,very_easy
1088,2 2 2 7,13.5,72.8,10.3,6.21,very_hard
826,5 6 7 12,9.52,84.6,9.48,4.44,hard
1072,3 5 6 11,13.05,82.6,12.42,6.82,hard
929,1 4 4 8,10.59,89.8,10.78,5.55,medium
1292,5 5 8 11,39.63,46.8,25.01,11.4,very_hard
1344,3 3 7 13,96.38,27.2,33.97,19.79,very_hard
871,5 6 9 12,10.02,87.2,10.08,4.43,hard
1220,3 5 9 10,20.47,67.9,15.22,8.08,very_hard
51,8 8 12 12,5.37,98.6,5.81,1.95,very_easy
1304,6 7 7 11,49.96,42.9,28.85,15.3,very_hard
410,1 3 7 13,7.1,96.9,7.5,2.64,very_easy
33,1 1 11 13,5.22,99.1,5.64,1.81,very_easy
35,4 5 12 12,5.25,97.1,5.61,1.79,very_easy
1039,2 3 7 13,12.2,86.3,12.0,5.43,hard
1258,5 6 6 9,26.22,59.3,14.85,9.05,very_hard
654,8 11 12 12,8.27,77.3,7.59,3.85,very_hard
849,4 5 5 7,9.75,82.5,9.26,4.37,hard
105,1 7 9 12,5.71,96.2,6.11,2.22,very_easy
262,10 10 10 13,6.47,93.1,6.91,3.01,easy
434,5 6 11 11,7.21,87.1,7.47,3.36,hard
987,5 5 8 13,11.43,81.0,10.87,4.64,hard
860,3 3 7 9,9.88,90.9,10.1,3.83,medium
83,2 3 12 12,5.57,97.4,5.95,1.96,very_easy
809,1 5 10 13,9.35,88.8,9.35,3.49,medium
1273,3 3 6 6,30.58,57.3,15.03,9.1,very_hard
750,3 10 11 12,8.96,89.3,9.13,3.72,medium
213,5 5 11 13,6.22,96.3,6.87,2.62,very_easy
542,2 8 12 13,7.69,89.8,7.96,3.56,medium
382,5 6 13 13,7.0,87.2,7.09,2.81,hard
465,2 6 7 9,7.34,96.1,7.85,3.01,very_easy
535,3 5 5 7,7.66,90.1,7.88,3.19,medium
736,4 6 10 12,8.86,93.9,9.41,4.06,easy
1267,2 3 13 13,28.12,58.5,18.48,9.94,very_hard
1155,2 4 10 11,15.75,79.6,14.42,6.59,hard
139,1 4 8 12,5.92,97.6,6.31,2.2,very_easy
558,2 4 4 13,7.77,85.5,7.87,3.55,hard
279,2 4 5 12,6.57,94.7,7.01,2.84,easy
1352,3 7 9 13,111.27,26.0,40.49,22.12,very_hard
1321,3 4 6 13,63.74,40.2,21.13,12.28,very_hard
130,3 8 12 13,5.85,96.1,6.22,2.19,very_easy
1328,2 2 13 13,68.95,36.6,15.43,9.44,very_hard
1143,3 6 8 13,15.27,81.8,14.73,6.46,hard
1224,1 5 7 10,20.8,69.8,16.69,7.91,very_hard
1263,3 4 7 8,27.12,60.3,15.38,8.89,very_hard
580,1 4 8 11,7.89,95.7,8.34,2.89,easy
334,1 4 8 13,6.8,97.4,7.18,2.48,very_easy
368,3 8 8 9,6.94,95.8,7.3,2.54,easy
979,5 8 8 8,11.38,80.9,10.9,5.45,hard
782,1 2 4 9,9.14,91.0,9.58,4.04,medium
507,5 8 8 10,7.54,91.6,7.99,3.44,medium
1032,4 8 8 10,12.13,85.7,11.94,5.6,hard
692,1 6 12 13,8.58,89.3,8.66,3.34,medium
556,1 3 5 11,7.77,93.0,8.12,2.88,easy
1325,6 7 8 12,65.75,40.6,18.19,13.2,very_hard
743,7 8 8 11,8.91,80.9,8.38,4.53,hard
359,7 8 12 13,6.91,96.7,7.4,2.63,very_easy
924,6 6 7 12,10.54,84.2,10.28,4.82,hard
371,8 9 10 13,6.95,96.0,7.47,2.7,very_easy
62,11 12 12 12,5.44,97.9,5.77,1.88,very_easy
233,9 9 12 13,6.33,94.0,6.69,2.24,easy
755,6 6 8 11,8.98,83.0,8.7,4.55,hard
65,2 3 3 12,5.47,98.6,5.95,2.06,very_easy
133,2 10 10 12,5.87,97.2,6.28,2.3,very_easy
188,2 2 11 12,6.12,92.5,6.52,2.55,medium
681,5 8 11 13,8.45,88.6,8.58,3.53,medium
1250,4 10 11 12,25.09,63.2,17.84,9.11,very_hard
775,3 5 6 9,9.09,92.8,9.51,3.75,easy
241,7 9 11 11,6.37,95.7,6.85,2.67,easy
608,6 6 9 12,8.01,91.8,8.27,3.38,medium
349,4 8 8 8,6.87,94.5,7.26,2.79,easy
611,8 10 13 13,8.02,92.5,8.4,3.34,medium
632,2 8 8 9,8.16,90.4,8.51,3.45,medium
776,5 5 6 7,9.09,91.0,9.51,4.08,medium
728,1 3 9 13,8.79,93.9,9.43,4.17,easy
886,1 3 3 11,10.21,88.3,10.21,4.76,medium
274,8 8 8 10,6.53,90.3,6.84,2.94,medium
388,6 8 11 11,7.02,94.1,7.55,3.11,easy
689,2 8 8 11,8.54,84.0,8.24,3.61,hard
796,5 10 10 12,9.25,87.0,9.19,3.62,hard
664,1 5 9 10,8.33,93.1,8.82,3.87,easy
439,1 5 6 9,7.24,92.1,7.73,3.58,medium
1112,3 3 9 11,14.3,79.6,13.32,5.83,hard
1097,5 5 7 10,13.71,74.1,11.78,5.2,very_hard
734,1 4 6 7,8.83,87.2,9.06,4.68,hard
538,1 8 9 13,7.67,91.6,8.14,3.67,medium
784,4 4 8 13,9.14,86.6,9.05,4.33,hard
248,1 4 4 5,6.41,96.7,6.97,2.75,very_easy
240,2 7 8 12,6.37,95.2,6.84,2.61,easy
893,1 5 10 11,10.3,86.4,10.1,3.74,hard
581,2 2 9 11,7.89,91.6,8.19,3.26,medium
1237,3 3 7 8,21.94,69.1,17.56,8.35,very_hard
598,3 5 8 11,7.96,89.5,8.22,3.51,medium
1041,1 5 8 11,12.26,89.4,12.62,5.59,medium
1002,2 2 8 9,11.65,86.9,11.86,5.23,hard
628,2 3 4 8,8.13,92.8,8.89,4.11,easy
1162,4 6 8 10,16.14,76.3,13.37,7.93,very_hard
409,1 2 6 7,7.1,95.5,7.48,2.61,easy
1071,4 10 11 13,13.02,75.7,10.96,5.9,very_hard
164,1 1 3 13,6.01,95.3,6.37,2.12,easy
281,1 3 3 5,6.58,95.2,6.9,2.52,easy
1108,6 8 11 12,14.05,77.8,12.58,5.81,very_hard
469,1 7 9 13,7.36,93.9,7.64,2.62,easy
494,2 4 10 12,7.45,96.6,8.1,3.23,very_easy
13,1 1 12 12,5.0,99.3,5.37,1.63,very_easy
197,1 7 8 8,6.16,96.6,6.67,2.66,very_easy
1282,1 2 7 7,34.5,54.6,18.15,10.74,very_hard
1222,8 10 12 12,20.55,63.4,11.9,7.62,very_hard
239,4 8 9 9,6.36,90.7,6.58,2.38,medium
346,8 9 11 12,6.86,95.2,7.54,3.11,easy
445,8 8 9 11,7.25,89.4,7.79,3.79,medium
892,2 6 12 12,10.27,89.2,10.67,5.14,medium
1347,2 3 8 13,100.15,31.6,24.72,13.63,very_hard
259,1 1 3 11,6.47,94.7,6.72,2.01,easy
454,3 8 8 12,7.29,91.6,7.77,3.18,medium
275,2 8 10 11,6.55,95.0,7.07,2.71,easy
344,2 3 12 13,6.85,95.9,7.35,2.64,easy
720,3 6 7 12,8.72,90.3,9.0,3.89,medium
1261,2 2 5 8,26.55,63.1,17.2,9.33,very_hard
570,2 6 8 11,7.82,93.5,8.29,3.45,easy
1334,6 9 9 10,76.54,32.8,34.97,19.53,very_hard
255,2 5 6 12,6.44,95.4,6.85,2.55,easy
178,1 5 8 12,6.05,98.3,6.5,2.2,very_easy
71,7 7 11 12,5.49,93.7,5.83,2.13,easy
667,5 6 9 10,8.36,90.8,8.87,3.84,medium
800,2 8 8 10,9.27,92.8,9.51,3.81,easy
453,2 8 8 8,7.28,93.8,7.85,3.39,easy
1320,5 7 10 11,63.65,36.2,25.09,14.05,very_hard
1293,2 2 3 5,40.37,51.0,16.11,9.44,very_hard
747,3 9 9 10,8.94,86.6,8.91,3.86,hard
217,1 2 13 13,6.25,97.3,6.95,2.68,very_easy
187,1 1 6 6,6.11,97.4,6.55,2.22,very_easy
392,2 4 5 8,7.04,95.2,7.45,2.82,easy
333,1 1 2 9,6.79,95.0,7.12,2.32,easy
50,3 8 13 13,5.37,95.1,5.76,2.1,easy
964,2 2 5 12,11.15,84.4,10.87,5.24,hard
1178,3 10 11 13,17.14,71.0,13.85,6.6,very_hard
1295,1 5 11 11,43.04,43.5,17.24,10.51,very_hard
283,1 7 8 12,6.58,95.6,7.03,2.68,easy
77,1 8 9 12,5.55,96.4,5.88,1.97,very_easy
766,1 5 5 9,9.05,88.6,9.17,3.7,medium
441,5 5 11 11,7.24,85.8,7.48,3.48,hard
807,2 2 5 11,9.34,87.7,9.66,4.56,hard
1176,5 5 6 8,16.88,78.6,15.18,6.67,very_hard
1360,1 4 5 6,193.11,28.7,19.48,12.98,very_hard
1049,2 9 11 13,12.52,82.1,11.82,5.69,hard
116,1 7 7 10,5.76,98.1,6.19,2.13,very_easy
300,1 3 3 9,6.65,96.8,7.29,2.87,very_easy
265,12 13 13 13,6.49,94.7,6.85,2.43,easy
111,3 6 11 11,5.74,94.6,6.03,2.09,easy
229,1 5 10 10,6.29,97.4,6.68,2.3,very_easy
744,3 4 7 7,8.92,94.2,9.56,3.85,easy
777,1 2 4 5,9.1,90.6,9.45,4.22,medium
412,2 6 7 13,7.11,96.7,7.52,2.7,very_easy
44,11 11 11 12,5.32,95.0,5.61,1.98,easy
36,4 6 13 13,5.26,98.8,5.67,1.8,very_easy
214,1 2 3 8,6.23,97.0,6.68,2.42,very_easy
474,7 9 10 12,7.38,94.1,7.95,3.25,easy
1135,2 6 12 13,15.09,78.6,13.78,6.1,very_hard
425,1 3 9 11,7.18,95.1,7.68,3.09,easy
837,3 3 6 9,9.61,94.4,10.27,4.03,easy
490,1 11 12 13,7.44,94.3,7.87,3.18,easy
365,1 3 4 4,6.94,93.5,7.3,3.11,easy
1113,2 3 7 8,14.31,80.4,13.17,5.79,hard
727,1 2 3 11,8.77,95.7,9.12,3.4,easy
408,6 8 8 8,7.09,88.1,7.54,3.57,hard
338,1 2 5 7,6.84,95.3,7.17,2.63,easy
759,2 3 7 11,9.0,92.2,9.35,4.29,medium
868,4 9 9 10,10.0,89.9,10.26,4.16,medium
1099,7 10 11 13,13.78,73.9,11.39,5.99,very_hard
653,3 5 8 8,8.27,92.3,8.73,3.95,medium
594,3 9 10 10,7.95,84.9,7.87,3.54,hard
645,4 10 12 12,8.23,92.2,8.68,3.49,medium
1098,5 9 10 13,13.76,78.1,12.06,6.08,very_hard
269,1 2 4 6,6.51,96.0,6.92,2.55,very_easy
559,1 2 2 5,7.78,94.6,8.07,2.85,easy
1305,3 3 7 7,51.64,40.6,13.59,8.27,very_hard
1060,1 4 5 7,12.81,87.9,12.75,5.34,hard
459,5 5 7 8,7.32,92.7,7.81,3.01,easy
874,2 4 6 13,10.06,87.1,10.27,5.1,hard
107,1 1 10 13,5.72,98.0,6.14,2.19,very_easy
980,7 7 8 11,11.38,80.0,10.37,4.67,hard
1008,3 6 7 13,11.71,82.4,10.98,6.05,hard
574,1 2 9 12,7.85,92.8,8.43,3.84,easy
1027,2 7 9 11,12.03,83.6,11.61,5.5,hard
774,6 8 12 12,9.08,91.4,9.7,4.29,medium
677,6 6 7 9,8.39,90.7,8.79,3.76,medium
232,1 10 12 12,6.31,95.9,6.89,2.91,easy
1286,2 5 7 9,35.86,53.2,24.07,10.64,very_hard
1105,2 8 10 13,13.87,80.9,13.05,6.27,hard
155,6 6 10 13,5.96,93.8,6.49,2.71,easy
68,1 1 3 7,5.48,97.1,5.81,1.93,very_easy
296,3 7 7 12,6.63,90.2,6.8,2.6,medium
1001,1 6 7 9,11.64,84.3,11.35,4.67,hard
1241,2 9 10 10,23.02,62.0,17.33,7.81,very_hard
988,3 9 10 13,11.44,82.7,11.42,6.59,hard
1231,7 8 8 10,21.4,61.2,12.86,8.3,very_hard
226,3 11 11 12,6.28,91.4,6.52,2.23,medium
1095,5 7 10 10,13.68,77.2,12.46,5.5,very_hard
1096,4 4 5 12,13.69,79.0,12.11,6.39,very_hard
619,3 12 12 13,8.07,92.5,8.45,3.31,medium
897,3 4 4 13,10.32,88.8,10.39,4.34,medium
1138,3 3 4 13,15.16,76.4,12.76,7.08,very_hard
457,3 5 13 13,7.32,94.1,7.81,3.12,easy
98,5 5 7 7,5.66,97.9,6.01,1.93,very_easy
168,4 6 10 10,6.01,96.7,6.39,2.38,very_easy
1004,1 4 7 7,11.67,85.3,11.52,4.79,hard
498,2 3 7 12,7.47,94.8,7.91,3.05,easy
1140,3 4 7 12,15.19,82.9,14.54,6.46,hard
1073,2 4 5 7,13.07,78.0,11.54,5.72,very_hard
146,3 8 10 11,5.93,94.6,6.31,2.35,easy
573,8 9 11 13,7.84,90.5,8.29,3.78,medium
468,9 12 12 12,7.35,81.7,7.21,3.72,hard
1078,2 4 8 13,13.25,82.1,12.4,6.01,hard
641,2 5 6 7,8.23,92.5,8.67,3.67,medium
185,3 8 12 12,6.1,96.7,6.54,2.47,very_easy
249,1 5 8 9,6.42,94.3,6.92,2.73,easy
1061,2 6 6 7,12.83,78.4,11.18,5.88,very_hard
189,3 3 4 8,6.12,96.4,6.46,2.14,very_easy
906,2 4 8 9,10.38,83.6,10.03,4.56,hard
861,3 5 9 13,9.91,91.4,10.25,4.2,medium
643,4 7 9 12,8.23,94.7,8.72,3.31,easy
186,5 6 12 13,6.1,97.5,6.52,2.18,very_easy
604,3 6 7 9,8.0,93.2,8.49,3.58,easy
1003,3 3 5 12,11.66,87.2,11.76,5.29,hard
426,4 6 6 8,7.18,97.3,7.66,2.64,very_easy
304,3 7 13 13,6.67,87.5,6.79,2.79,hard
179,3 4 12 12,6.05,94.8,6.53,2.46,easy
326,1 2 5 6,6.76,94.4,7.25,2.81,easy
1020,3 4 6 9,11.96,82.7,11.32,5.8,hard
1236,1 6 10 12,21.94,65.6,14.8,8.32,very_hard
686,3 6 8 9,8.51,93.7,8.9,3.18,easy
835,1 6 9 10,9.61,92.2,9.92,3.85,medium
1204,3 9 9 11,18.75,69.7,14.35,7.79,very_hard
610,4 6 8 9,8.02,93.5,8.52,3.49,easy
674,2 8 9 10,8.38,88.7,8.56,3.86,medium
1011,1 3 7 12,11.79,85.5,11.22,5.07,hard
779,1 5 6 8,9.13,90.5,9.28,3.94,medium
955,3 4 6 8,10.96,90.6,11.42,5.07,medium
836,1 9 11 13,9.61,87.7,9.78,4.2,hard
423,2 9 9 13,7.17,88.7,7.26,2.64,medium
1080,2 3 3 3,13.26,82.2,12.19,6.03,hard
273,3 7 9 9,6.52,90.9,6.95,2.85,medium
418,5 5 6 6,7.14,93.1,7.63,2.91,easy
385,5 6 9 9,7.01,90.8,7.33,2.81,medium
723,2 2 4 13,8.73,91.0,9.22,4.19,medium
323,1 12 12 12,6.75,93.9,6.96,2.58,easy
760,5 7 8 8,9.0,82.6,8.72,4.8,hard
834,3 3 4 9,9.6,92.3,9.9,3.86,medium
1005,4 8 11 13,11.68,82.4,10.91,5.32,hard
464,2 2 3 9,7.34,94.8,7.82,2.88,easy
43,2 7 7 12,5.31,98.8,5.69,1.91,very_easy
34,1 1 11 12,5.25,99.4,5.64,1.76,very_easy
635,10 11 12 13,8.18,96.0,8.82,3.57,very_easy
858,2 7 9 13,9.86,87.4,10.04,4.93,hard
180,10 11 12 12,6.05,96.1,6.36,2.09,very_easy
284,2 8 8 13,6.58,93.0,7.02,2.65,easy
1206,4 5 6 9,18.84,75.6,16.91,7.21,very_hard
510,3 9 11 11,7.56,85.4,7.7,3.41,hard
1318,3 5 8 12,63.22,38.6,28.59,13.88,very_hard
1198,3 5 8 9,18.28,75.7,16.28,7.77,very_hard
1353,2 4 10 10,115.1,26.0,30.66,19.86,very_hard
458,4 7 12 13,7.32,92.2,7.87,3.42,medium
4,1 1 1 8,4.45,98.8,4.66,1.25,very_easy
136,5 6 11 12,5.89,97.2,6.37,2.23,very_easy
1359,2 5 5 10,191.22,21.6,24.43,17.3,very_hard
1171,4 5 7 13,16.63,72.2,13.02,6.56,very_hard
725,3 7 7 13,8.75,93.6,9.08,3.2,easy
975,2 6 7 11,11.3,82.6,10.82,5.3,hard
1007,3 4 8 12,11.71,87.5,11.58,5.57,hard
387,2 5 5 13,7.02,92.3,7.46,2.87,medium
567,3 6 12 12,7.81,93.2,8.37,3.56,easy
292,4 6 11 12,6.6,93.0,7.03,2.97,easy
1018,2 5 6 6,11.91,78.2,10.43,6.03,very_hard
319,1 10 11 12,6.73,94.9,7.13,2.56,easy
1208,3 6 8 10,18.96,65.8,12.54,7.19,very_hard
600,2 2 4 8,7.97,95.8,8.49,3.1,easy
6,1 1 2 12,4.59,99.2,4.93,1.53,very_easy
122,8 9 12 12,5.79,96.3,6.27,2.22,very_easy
870,3 7 8 13,10.02,84.4,9.94,5.13,hard
1058,7 10 10 12,12.68,77.8,11.54,5.49,very_hard
404,3 3 3 7,7.08,92.1,7.52,3.28,medium
1240,3 5 7 11,22.91,63.9,15.2,8.37,very_hard
952,6 7 10 12,10.9,85.2,10.85,4.89,hard
530,2 10 10 13,7.62,89.9,7.83,3.04,medium
673,2 2 6 10,8.38,95.4,8.81,3.08,easy
706,2 9 10 11,8.64,88.8,8.57,3.38,medium
446,1 3 4 5,7.26,97.6,7.74,2.49,very_easy
590,5 6 6 6,7.93,87.5,8.16,3.65,hard
560,1 9 11 11,7.78,90.1,7.97,3.09,medium
847,5 6 8 9,9.72,89.9,10.01,4.43,medium
1355,2 4 7 12,117.85,27.3,31.34,18.82,very_hard
78,1 3 4 12,5.56,98.6,5.99,1.96,very_easy
80,11 11 11 13,5.56,98.4,6.11,2.26,very_easy
930,3 4 5 6,10.6,84.0,10.36,5.26,hard
373,1 3 6 7,6.96,96.4,7.36,2.77,very_easy
15,1 1 5 8,5.02,96.5,5.39,1.83,very_easy
478,5 10 11 11,7.39,90.4,7.68,2.9,medium
862,2 2 4 9,9.94,90.4,10.17,4.45,medium
267,4 5 6 6,6.5,95.4,6.85,2.37,easy
1103,2 7 10 11,13.86,78.7,12.67,6.29,very_hard
1316,4 7 11 13,61.48,37.6,31.9,16.65,very_hard
1219,2 3 11 11,20.46,67.9,15.49,7.84,very_hard
1309,1 6 11 13,55.57,38.4,19.78,10.92,very_hard
854,2 4 5 9,9.81,86.3,9.83,4.75,hard
1288,2 2 3 10,36.17,54.6,18.73,10.75,very_hard
575,4 5 7 8,7.86,95.5,8.32,3.15,easy
566,2 6 11 13,7.81,90.1,8.01,3.43,medium
1057,2 3 6 12,12.68,91.3,13.09,5.34,medium
1269,4 10 10 11,29.05,54.6,19.84,9.36,very_hard
376,4 7 13 13,6.97,87.8,7.25,3.1,hard
671,5 5 8 9,8.37,89.9,8.84,4.0,medium
1175,1 3 12 13,16.74,75.5,14.15,7.15,very_hard
176,4 8 13 13,6.04,94.6,6.3,1.95,easy
1070,7 7 9 10,12.97,75.8,11.5,5.27,very_hard
419,1 8 8 11,7.15,93.5,7.66,3.52,easy
527,2 6 6 6,7.61,96.1,8.13,3.05,very_easy
1245,2 4 5 10,23.37,67.8,17.83,8.49,very_hard
994,2 4 6 8,11.5,93.5,11.87,4.38,easy
3,1 1 11 11,4.41,99.5,4.67,1.42,very_easy
8,1 1 10 12,4.79,99.0,5.04,1.53,very_easy
1187,1 3 11 12,17.35,75.7,14.81,7.51,very_hard
285,3 5 11 11,6.58,94.7,7.13,2.99,easy
1331,1 4 7 11,74.51,36.0,31.45,17.39,very_hard
576,5 6 7 8,7.87,93.8,8.32,3.14,easy
437,1 1 8 8,7.24,89.6,7.71,3.87,medium
765,4 5 5 9,9.04,91.5,9.43,3.93,medium
1324,6 12 12 13,64.93,37.5,15.92,9.02,very_hard
394,4 4 4 12,7.04,96.5,7.5,2.91,very_easy
978,1 3 7 10,11.38,86.4,11.39,5.39,hard
31,4 6 7 7,5.2,98.7,5.55,1.83,very_easy
1311,4 4 7 7,57.78,39.2,15.7,9.07,very_hard
638,4 4 6 12,8.2,94.3,8.93,3.89,easy
999,4 4 5 11,11.6,85.1,11.39,4.81,hard
933,5 8 11 12,10.61,87.1,10.87,4.38,hard
396,8 8 12 13,7.05,92.3,7.37,2.68,medium
1024,4 6 7 12,12.0,81.3,11.52,5.67,hard
778,4 4 9 11,9.1,82.1,8.75,4.72,hard
1262,5 6 7 9,26.92,60.2,16.65,9.39,very_hard
398,4 6 9 10,7.06,94.0,7.55,3.25,easy
1191,2 3 7 10,17.64,77.1,15.4,7.03,very_hard
820,2 3 4 4,9.44,94.3,9.83,3.61,easy
129,1 4 4 12,5.84,95.8,6.32,2.32,easy
246,4 6 12 13,6.4,93.8,6.89,2.92,easy
29,1 2 4 12,5.18,97.7,5.61,2.0,very_easy
360,1 1 3 5,6.92,95.4,7.24,2.32,easy
735,1 2 9 13,8.85,93.2,9.41,4.18,easy
54,12 12 13 13,5.39,98.8,5.81,1.93,very_easy
318,1 1 2 7,6.73,95.5,6.94,2.06,easy
128,9 9 11 13,5.83,96.9,6.4,2.41,very_easy
936,4 5 6 8,10.66,87.3,10.56,4.36,hard
63,1 1 12 13,5.45,98.8,5.84,1.85,very_easy
545,3 7 9 10,7.7,92.0,8.27,3.55,medium
377,9 10 11 12,6.97,96.1,7.51,2.82,very_easy
152,3 6 6 8,5.96,97.1,6.38,2.26,very_easy
663,3 4 9 11,8.31,89.7,8.55,4.06,medium
1235,1 2 8 10,21.88,67.4,15.79,8.18,very_hard
1213,2 7 10 12,19.59,70.6,16.13,7.14,very_hard
85,1 3 10 10,5.58,97.5,5.91,2.0,very_easy
528,4 4 8 8,7.61,95.9,8.22,3.21,easy
757,4 11 12 13,8.99,91.3,9.36,3.89,medium
938,1 3 6 11,10.7,88.0,10.62,4.33,hard
880,6 6 8 8,10.12,86.2,9.93,4.55,hard
593,3 4 12 13,7.95,93.3,8.59,3.77,easy
451,4 5 11 13,7.27,90.7,7.77,3.4,medium
