Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
365,1 3 4 4,6.94,93.5%,7.3,3.11
366,1 6 6 10,6.94,93.6%,7.3,3.13
367,3 3 3 10,6.94,94.4%,7.49,3.17
368,3 8 8 9,6.94,95.8%,7.3,2.54
369,4 5 7 7,6.94,91.1%,7.55,3.62
370,6 9 12 12,6.95,89.3%,7.52,3.71
371,8 9 10 13,6.95,96%,7.47,2.7
372,9 11 11 11,6.95,95.5%,7.3,2.74
373,1 3 6 7,6.96,96.4%,7.36,2.77
374,4 7 10 11,6.96,97.1%,7.55,2.81
375,1 9 10 12,6.97,94%,7.35,2.83
376,4 7 13 13,6.97,87.8%,7.25,3.1
377,9 10 11 12,6.97,96.1%,7.51,2.82
378,4 7 8 8,6.99,94.3%,7.41,2.6
379,5 5 10 10,6.99,86.8%,7.33,3.22
380,11 11 12 13,6.99,95.2%,7.46,2.53
381,2 6 10 12,7,95.4%,7.46,2.77
382,5 6 13 13,7,87.2%,7.09,2.81
383,2 2 12 13,7.01,92.6%,7.32,2.66
384,2 8 12 12,7.01,95.3%,7.36,2.61
385,5 6 9 9,7.01,90.8%,7.33,2.81
386,1 3 5 13,7.02,94.4%,7.44,2.72
387,2 5 5 13,7.02,92.3%,7.46,2.87
388,6 8 11 11,7.02,94.1%,7.55,3.11
389,8 8 10 13,7.02,90.6%,7.47,3.13
390,1 2 2 11,7.03,97.2%,7.58,2.95
391,1 11 12 12,7.04,94.4%,7.62,3.18
392,2 4 5 8,7.04,95.2%,7.45,2.82
393,3 3 4 4,7.04,94.5%,7.4,2.63
394,4 4 4 12,7.04,96.5%,7.5,2.91
395,1 3 10 11,7.05,96.3%,7.7,3.16
396,8 8 12 13,7.05,92.3%,7.37,2.68
397,2 3 5 5,7.06,96.2%,7.56,2.89
398,4 6 9 10,7.06,94%,7.55,3.25
399,1 2 11 12,7.07,97%,7.74,3.18
400,3 6 6 12,7.07,95.5%,7.75,2.97
401,1 6 8 8,7.08,93.2%,7.41,2.98
402,2 5 5 8,7.08,88.6%,7.29,3.23
403,2 6 7 12,7.08,92.3%,7.33,3.01
404,3 3 3 7,7.08,92.1%,7.52,3.28
405,3 6 9 9,7.08,94%,7.65,3.29
406,6 7 10 13,7.08,96.6%,7.62,2.8
407,2 9 9 11,7.09,87.5%,7.11,2.8
408,6 8 8 8,7.09,88.1%,7.54,3.57
409,1 2 6 7,7.1,95.5%,7.48,2.61
410,1 3 7 13,7.1,96.9%,7.5,2.64
411,4 5 10 10,7.1,91.3%,7.5,3.25
412,2 6 7 13,7.11,96.7%,7.52,2.7
413,3 4 11 12,7.11,95.3%,7.77,3.41
414,1 2 3 5,7.12,95.5%,7.44,2.42
415,1 3 10 12,7.13,96.5%,7.59,2.73
416,8 10 11 11,7.13,95.1%,7.55,2.78
417,1 8 8 10,7.14,92.3%,7.51,3.03
418,5 5 6 6,7.14,93.1%,7.63,2.91
419,1 8 8 11,7.15,93.5%,7.66,3.52
420,2 3 3 13,7.16,94%,7.71,2.99
421,1 7 8 11,7.17,92.7%,7.51,3.06
422,2 2 10 13,7.17,90%,7.38,3.1
423,2 9 9 13,7.17,88.7%,7.26,2.64
424,1 2 2 13,7.18,96.7%,7.71,3.11
425,1 3 9 11,7.18,95.1%,7.68,3.09
426,4 6 6 8,7.18,97.3%,7.66,2.64
427,3 5 5 6,7.19,89.3%,7.49,3.3
428,1 7 7 9,7.2,96.1%,7.58,2.88
429,1 10 12 13,7.2,94.4%,7.57,2.84
430,3 7 12 13,7.2,93.9%,7.69,3.1
431,4 8 11 12,7.2,93%,7.8,3.22
432,5 5 10 13,7.2,89.9%,7.62,3.44
433,2 5 9 12,7.21,95.7%,7.66,2.91
434,5 6 11 11,7.21,87.1%,7.47,3.36
435,10 10 12 13,7.21,92.3%,7.48,2.6
436,3 7 7 9,7.23,86.8%,7.31,3
437,1 1 8 8,7.24,89.6%,7.71,3.87
438,1 3 4 11,7.24,96%,7.77,2.95
439,1 5 6 9,7.24,92.1%,7.73,3.58
440,2 6 10 10,7.24,95.9%,7.77,3.05
441,5 5 11 11,7.24,85.8%,7.48,3.48
442,5 5 13 13,7.24,85.5%,7.43,3.23
443,6 6 12 13,7.24,90.4%,7.7,3.16
444,2 5 12 12,7.25,83.3%,7.57,4.22
445,8 8 9 11,7.25,89.4%,7.79,3.79
446,1 3 4 5,7.26,97.6%,7.74,2.49
447,2 2 7 13,7.26,96.3%,7.68,2.9
448,1 7 10 12,7.27,92.8%,7.7,3.12
449,2 7 7 13,7.27,86.2%,7.38,3.13
450,2 9 10 12,7.27,94.1%,7.63,2.88
451,4 5 11 13,7.27,90.7%,7.77,3.4
452,4 8 10 12,7.27,95.8%,7.83,2.93
453,2 8 8 8,7.28,93.8%,7.85,3.39
454,3 8 8 12,7.29,91.6%,7.77,3.18
455,3 9 10 11,7.29,93%,7.67,2.95
456,1 2 4 10,7.32,96.2%,7.78,3.18
457,3 5 13 13,7.32,94.1%,7.81,3.12
458,4 7 12 13,7.32,92.2%,7.87,3.42
459,5 5 7 8,7.32,92.7%,7.81,3.01
460,5 9 10 10,7.32,92.9%,7.74,3.14
461,1 1 6 8,7.33,95%,7.69,2.54
462,3 4 5 12,7.33,97.1%,7.72,2.71
463,1 6 8 13,7.34,94.5%,7.79,2.88
464,2 2 3 9,7.34,94.8%,7.82,2.88
465,2 6 7 9,7.34,96.1%,7.85,3.01
466,3 7 11 12,7.34,90.7%,7.82,3.51
467,6 6 6 11,7.35,88.8%,7.65,3.55
468,9 12 12 12,7.35,81.7%,7.21,3.72
469,1 7 9 13,7.36,93.9%,7.64,2.62
470,2 3 3 11,7.37,89.7%,7.7,3.36
471,10 12 12 13,7.37,90.1%,7.81,3.55
472,1 6 6 9,7.38,90.7%,7.87,3.37
473,4 5 5 8,7.38,88%,7.52,2.99
474,7 9 10 12,7.38,94.1%,7.95,3.25
475,7 10 10 11,7.38,93.7%,7.72,2.98
476,1 3 7 8,7.39,89.5%,7.64,3.61
477,3 6 11 12,7.39,93.3%,7.82,3.18
478,5 10 11 11,7.39,90.4%,7.68,2.9
479,3 6 6 6,7.4,94.5%,7.88,3.26
480,1 8 9 11,7.41,92.8%,7.71,3.07
481,3 5 5 12,7.41,89%,7.75,3.44
482,5 6 11 13,7.41,91.4%,7.89,3.41
483,1 5 9 9,7.42,94.4%,7.89,3.22
484,1 12 12 13,7.42,94.4%,7.95,3.26
485,3 4 8 10,7.42,93.5%,7.77,3.21
486,4 7 11 11,7.42,86.2%,7.61,3.56
487,5 6 8 8,7.42,92.4%,7.86,3.05
488,1 8 11 12,7.43,91.6%,7.95,3.45
489,10 11 11 12,7.43,96.8%,7.92,2.82
490,1 11 12 13,7.44,94.3%,7.87,3.18
491,3 3 9 9,7.44,95.9%,7.78,2.79
492,3 5 6 8,7.44,93.8%,7.98,3.23
493,4 4 5 8,7.44,96%,7.82,2.62
494,2 4 10 12,7.45,96.6%,8.1,3.23
495,3 6 8 8,7.45,92.7%,7.77,2.97
496,1 2 7 10,7.46,90.8%,8.07,4.12
497,7 8 8 9,7.46,86.3%,7.85,3.99
498,2 3 7 12,7.47,94.8%,7.91,3.05
499,2 7 8 13,7.47,94.2%,7.98,3.15
500,3 3 4 5,7.47,93.9%,7.91,3.24
501,5 5 9 9,7.48,85.3%,7.74,3.53
502,2 2 4 7,7.49,95.1%,8.15,3.16
503,6 8 13 13,7.5,93.4%,7.95,3.13
504,1 2 3 7,7.53,96.1%,8.23,3.25
505,2 5 6 8,7.54,95.5%,8.02,3.05
506,3 5 10 12,7.54,94.8%,8.11,3.19
507,5 8 8 10,7.54,91.6%,7.99,3.44
508,4 7 9 9,7.55,86.6%,7.69,3.25
509,2 6 9 11,7.56,95.8%,8.08,3.17
510,3 9 11 11,7.56,85.4%,7.7,3.41
511,4 4 4 7,7.56,91.4%,7.96,3.42
512,1 7 9 9,7.57,94.8%,8.03,3.17
513,2 2 6 6,7.57,96.1%,8.1,3.08
514,5 7 13 13,7.57,94.1%,7.99,3.24
515,5 10 13 13,7.57,92.7%,8.01,2.78
516,1 2 3 9,7.58,96.5%,8.15,3.17
517,2 4 8 10,7.58,97.8%,8.07,2.66
518,2 10 10 11,7.58,85.1%,7.4,3.01
519,1 2 4 13,7.59,93.8%,7.94,2.98
520,3 9 13 13,7.59,86.2%,7.73,3.38
